A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,250,700,5,1.2,1.015349407,0.006,0.1424210909,0.390347033,0.2796926019999999,0.235373697,0.303476997
50,250,700,5,0.973,1.001589179,0.006,0.1398310879,0.3953463329999999,0.272978822,0.231378638,0.309459824
50,250,700,5,0.818,0.965061527,0.009,0.1353362331,0.407281453,0.2627957229999999,0.2332301289999999,0.3118382289999999
50,250,700,5,0.706,0.956938921,0.017,0.1344298790999999,0.408466792,0.260553355,0.228960144,0.315756695
50,250,700,5,0.621,0.957740017,0.009,0.1306099188,0.410603697,0.2591914888,0.22965422,0.316554271
50,250,700,6,4.0,1.139124297,0.0,0.1659897642,0.346742485,0.303397805,0.254795603,0.282889459
50,250,700,6,2.25,1.087775128,0.0,0.1582019238999999,0.364066076,0.295949758,0.245775651,0.289906601
50,250,700,6,1.565,1.048672046,0.0,0.1494262067,0.37995267,0.2809825204,0.240151333,0.2981083459999999
50,250,700,6,1.2,1.0076026420000002,0.005,0.1418947155999999,0.393076533,0.272926411,0.235198351,0.304558608
50,250,700,6,0.973,0.999057434,0.011,0.138706909,0.396794335,0.2704249949999999,0.2327204,0.3080982599999999
50,250,700,6,0.818,0.976137409,0.01,0.134688538,0.4047754,0.265791017,0.230122373,0.312813949
50,250,700,6,0.706,0.96278973,0.004,0.1326625438,0.409023312,0.259447538,0.2302729339999999,0.315732441
50,250,700,6,0.621,0.949934201,0.003,0.131216791,0.412787531,0.256796943,0.228107646,0.317183081
50,250,700,7,4.0,1.127960774,0.001,0.1657081699,0.349587162,0.302224263,0.2532890929999999,0.284287348
50,250,700,7,2.25,1.0754982030000002,0.001,0.1568111008,0.3688149899999999,0.292245315,0.244959721,0.292995426
50,250,700,7,1.565,1.041525229,0.002,0.1468335267,0.383707161,0.282427672,0.239504688,0.298787418
50,250,700,7,1.2,1.0066615609999998,0.005,0.1450073026,0.39130747,0.281241014,0.234365687,0.3039721419999999
50,250,700,7,0.973,0.981509614,0.003,0.1394776443,0.400714358,0.267023732,0.2349961529999999,0.307492039
50,250,700,7,0.818,0.980840502,0.003,0.1353529120999999,0.403069348,0.2648176079999999,0.2314780589999999,0.310045678
50,250,700,7,0.706,0.9621114833,0.009,0.1320333815,0.410086311,0.258492814,0.2327812799999999,0.316538542
50,250,700,7,0.621,0.963852308,0.006,0.1307337023,0.4110676419999999,0.256166797,0.228114118,0.316899683
50,250,700,8,4.0,1.135567505,0.002,0.1680487321,0.347601225,0.30324622,0.257234616,0.283637877
50,250,700,8,2.25,1.087183847,0.0,0.1552003532,0.3654599289999999,0.293957865,0.246769135,0.290758994
50,250,700,8,1.565,1.035318666,0.004,0.1497733738,0.381522533,0.28462356,0.240939363,0.297737714
50,250,700,8,1.2,1.016991705,0.005,0.1436155917,0.390017831,0.2808844239999999,0.237339668,0.301118106
50,250,700,8,0.973,0.986160568,0.003,0.138801153,0.399937021,0.269341528,0.234547459,0.307888442
50,250,700,8,0.818,0.97711571,0.005,0.1384138325,0.402025871,0.268650574,0.2317096689999999,0.3093841819999999
50,250,700,8,0.706,0.97393505,0.007,0.1326253014,0.407037078,0.2603283669999999,0.231082714,0.313368783
50,250,700,8,0.621,0.6649128054,0.6839999999999999,0.1281987374,0.480421828,0.336790662,0.217467155,0.3480438749999999
50,250,700,9,4.0,1.125953503,0.0,0.1671967708,0.34833924,0.30040604,0.257896406,0.282668168
50,250,700,9,2.25,1.0841462969999998,0.002,0.1561121534,0.365106965,0.290008846,0.246183702,0.289154818
50,250,700,9,1.565,1.038679923,0.003,0.1493922915,0.38066958,0.28234057,0.240228798,0.298558056
50,250,700,9,1.2,1.023129739,0.002,0.1429310245,0.390081764,0.275598779,0.238116396,0.3039168399999999
50,250,700,9,0.973,0.992463326,0.009,0.1397885665,0.3968859,0.274631855,0.232768532,0.308461838
50,250,700,9,0.818,0.970826914,0.011,0.1360937833,0.4039417069999999,0.2657551196,0.23080929,0.311594148
50,250,700,9,0.706,0.7101992585000001,0.637,0.1238158572999999,0.472734367,0.332576194,0.2205465959999999,0.338033678
50,250,700,9,0.621,0.6651431705,0.751,0.1250487698,0.482645813,0.338960984,0.2144030271,0.3481733259999999
50,250,700,10,4.0,1.132661585,0.0,0.167978015,0.345788862,0.30222192,0.253007166,0.280196169
50,250,700,10,2.25,1.073022653,0.001,0.1533026134,0.369484112,0.290647202,0.245989167,0.291778376
50,250,700,10,1.565,1.0487319987,0.003,0.1482109545,0.3795961989999999,0.285096536,0.241178392,0.297160343
50,250,700,10,1.2,1.002608905,0.002,0.1415684166,0.3948978889999999,0.2698557769999999,0.236341725,0.305182094
50,250,700,10,0.973,1.008971979,0.003,0.1386651413999999,0.395600323,0.270381489,0.234389725,0.3074822319999999
50,250,700,10,0.818,0.99015195,0.004,0.1346463998,0.401859287,0.2638121576999999,0.233774217,0.310487803
50,250,700,10,0.706,0.9530110258,0.019,0.1323391108999999,0.409591345,0.259918397,0.229200422,0.312499146
50,250,700,10,0.621,0.6417189420999999,0.631,0.1342148302,0.479235647,0.334311691,0.2061968344,0.355096301
50,400,550,1,4.0,1.103172825,0.001,0.1677450599,0.344372948,0.3036449779999999,0.257479384,0.278986271
